id,code,name,parent_id/id,level,is_debt_account,is_general_account,account_type,allowed_compare,chart_template_id/id
chart341121,341121,Các khoản đi vay dài hạn: tiền Việt Nam,chart34112,4,0,0,asset_fixed,,l10n_vn.vn_template
chart341122,341122,Các khoản đi vay dài hạn: ngoại tệ,chart34112,4,0,0,asset_fixed,,l10n_vn.vn_template
chart3412,3412,Nợ thuê tài chính,chart341,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart34121,34121,Nợ thuê tài chính: ngắn hạn,chart3412,3,0,1,asset_prepayments,,l10n_vn.vn_template
chart341211,341211,Nợ thuê tài chính ngắn hạn: tiền Việt Nam,chart34121,4,0,0,asset_prepayments,,l10n_vn.vn_template
chart341212,341212,Nợ thuê tài chính ngắn hạn: ngoại tệ,chart34121,4,0,0,asset_prepayments,,l10n_vn.vn_template
chart34122,34122,Nợ thuê tài chính: dài hạn,chart3412,3,0,1,asset_fixed,,l10n_vn.vn_template
chart341221,341221,Nợ thuê tài chính dài hạn: tiền Việt Nam,chart34122,4,0,0,asset_fixed,,l10n_vn.vn_template
chart341222,341222,Nợ thuê tài chính dài hạn: ngoại tệ,chart34122,4,0,0,asset_fixed,,l10n_vn.vn_template
chart343,343,Trái phiếu phát hành,,1,0,1,asset_fixed,,l10n_vn.vn_template
chart3431,3431,Trái phiếu thường,chart343,2,0,1,asset_fixed,,l10n_vn.vn_template
chart34311,34311,Mệnh giá trái phiếu,chart3431,3,0,1,asset_fixed,,l10n_vn.vn_template
chart343111,343111,Mệnh giá trái phiếu: ngắn hạn,chart34311,4,0,0,asset_fixed,,l10n_vn.vn_template
chart343112,343112,Mệnh giá trái phiếu: dài hạn,chart34311,4,0,0,asset_fixed,,l10n_vn.vn_template
chart34312,34312,Chiết khấu trái phiếu,chart3431,3,0,0,asset_fixed,,l10n_vn.vn_template
chart34313,34313,Phụ trội trái phiếu,chart3431,3,0,0,asset_fixed,,l10n_vn.vn_template
chart3432,3432,Trái phiếu chuyển đổi,chart343,2,0,0,asset_fixed,,l10n_vn.vn_template
chart344,344,"Nhận ký quỹ, ký cược",,1,0,1,asset_prepayments,,l10n_vn.vn_template
chart3441,3441,"Nhận ký quỹ, ký cược: ngắn hạn",chart344,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart3442,3442,"Nhận ký quỹ, ký cược: dài hạn",chart344,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart347,347,Thuế thu nhập hoãn lại phải trả,,1,0,0,asset_prepayments,,l10n_vn.vn_template
chart352,352,Dự phòng phải trả,,1,0,1,asset_prepayments,,l10n_vn.vn_template
chart3521,3521,Dự phòng bảo hành sản phẩm hàng hóa,chart352,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart35211,35211,Dự phòng bảo hành sản phẩm hàng hóa: ngắn hạn,chart3521,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart35212,35212,Dự phòng bảo hành sản phẩm hàng hóa: dài hạn,chart3521,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart3522,3522,Dự phòng bảo hành công trình xây dựng,chart352,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart35221,35221,Dự phòng bảo hành công trình xây dựng: ngắn hạn,chart3522,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart35222,35222,Dự phòng bảo hành công trình xây dựng: dài hạn,chart3522,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart3523,3523,Dự phòng tái cơ cấu doanh nghiệp,chart352,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart35231,35231,Dự phòng tái cơ cấu doanh nghiệp: ngắn hạn,chart3523,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart35232,35232,Dự phòng tái cơ cấu doanh nghiệp: dài hạn,chart3523,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart3524,3524,Dự phòng phải trả khác,chart352,2,0,1,asset_prepayments,,l10n_vn.vn_template
chart35241,35241,Dự phòng phải trả khác: ngắn hạn,chart3524,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart35242,35242,Dự phòng phải trả khác: dài hạn,chart3524,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart353,353,"Quỹ khen thưởng, phúc lợi",,1,0,1,asset_prepayments,,l10n_vn.vn_template
chart3531,3531,Quỹ khen thưởng,chart353,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart3532,3532,Quỹ phúc lợi,chart353,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart3533,3533,Quỹ phúc lợi đã hình thành TSCĐ,chart353,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart3534,3534,Quỹ thưởng ban quản lý điều hành công ty,chart353,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart356,356,Quỹ phát triển khoa học và công nghệ,,1,0,1,asset_prepayments,,l10n_vn.vn_template
chart3561,3561,Quỹ phát triển khoa học và công nghệ,chart356,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart3562,3562,Quỹ phát triển khoa học và công nghệ đã hình thành TSCĐ,chart356,2,0,0,asset_prepayments,,l10n_vn.vn_template
chart357,357,Quỹ bình ổn giá,,1,0,0,asset_prepayments,,l10n_vn.vn_template
chart411,411,Vốn đầu tư của chủ sở hữu,,1,0,1,equity,,l10n_vn.vn_template
chart4111,4111,Vốn góp của chủ sở hữu,chart411,2,0,1,equity,,l10n_vn.vn_template
chart41111,41111,Cổ phiếu phổ thông có quyền biểu quyết,chart4111,3,0,1,equity,,l10n_vn.vn_template
chart411111,411111,Vốn góp của công ty mẹ,chart41111,4,0,0,equity,,l10n_vn.vn_template
chart411112,411112,Vốn góp của các đối tượng khác,chart41111,4,0,0,equity,,l10n_vn.vn_template
chart41112,41112,Cổ phiếu ưu đãi,chart4111,3,0,1,equity,,l10n_vn.vn_template
